               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.038534,            0.048972,           0.0048178,             0.66589,             0.52721,             0.57094,             0.36273,            0.042947,            0.047659,           0.0088787,            0.002377,            0.002377,            0.002377
                  79,            0.038284,             0.04895,           0.0047362,             0.66722,              0.5268,             0.57088,             0.36229,            0.042955,            0.047717,           0.0088874,            0.002278,            0.002278,            0.002278
                  80,            0.038559,            0.049632,           0.0048505,             0.66384,             0.52647,             0.56979,             0.36221,            0.042967,            0.047787,           0.0088947,            0.002179,            0.002179,            0.002179
                  81,            0.038939,            0.050439,           0.0052133,             0.66806,             0.52367,             0.56968,             0.36224,            0.042969,            0.047807,           0.0089009,             0.00208,             0.00208,             0.00208
                  82,            0.039112,            0.050355,           0.0051797,             0.67479,             0.52184,             0.57033,             0.36198,            0.042971,             0.04783,           0.0089057,            0.001981,            0.001981,            0.001981
                  83,            0.038621,             0.04978,           0.0051653,              0.6733,             0.52157,             0.56972,              0.3622,            0.042971,            0.047845,           0.0089083,            0.001882,            0.001882,            0.001882
                  84,            0.038882,            0.050664,              0.0053,              0.6767,             0.51899,             0.56992,             0.36198,            0.042974,             0.04786,           0.0089128,            0.001783,            0.001783,            0.001783
                  85,            0.038877,            0.050103,           0.0051305,             0.67492,             0.51972,              0.5693,             0.36197,            0.042976,            0.047865,           0.0089153,            0.001684,            0.001684,            0.001684
                  86,            0.038763,            0.049722,           0.0051111,             0.67667,              0.5176,             0.56925,             0.36172,            0.042984,            0.047874,           0.0089216,            0.001585,            0.001585,            0.001585
                  87,            0.038534,            0.050077,           0.0050591,             0.68377,             0.51411,             0.56867,             0.36152,            0.042991,            0.047882,           0.0089302,            0.001486,            0.001486,            0.001486
                  88,            0.038392,            0.049168,           0.0049702,             0.68114,             0.51518,             0.56899,              0.3616,            0.042996,            0.047898,           0.0089397,            0.001387,            0.001387,            0.001387
                  89,            0.038316,            0.049229,           0.0050146,             0.68253,             0.51257,             0.56884,             0.36162,            0.043002,            0.047917,           0.0089499,            0.001288,            0.001288,            0.001288
                  90,            0.038149,            0.049166,           0.0048784,             0.68952,             0.51027,             0.56911,             0.36161,            0.043006,            0.047945,           0.0089615,            0.001189,            0.001189,            0.001189
                  91,            0.038183,            0.048953,           0.0049801,             0.68864,             0.51146,             0.56917,              0.3617,            0.043015,            0.047969,           0.0089708,             0.00109,             0.00109,             0.00109
                  92,             0.03807,            0.048496,           0.0048983,              0.6908,             0.51047,             0.56884,              0.3614,            0.043028,            0.047995,           0.0089872,            0.000991,            0.000991,            0.000991
                  93,            0.037983,            0.048919,           0.0047506,              0.6877,             0.51188,             0.56871,             0.36114,            0.043039,            0.048025,           0.0090013,            0.000892,            0.000892,            0.000892
                  94,            0.037762,            0.048927,           0.0047259,             0.68775,             0.51108,             0.56907,             0.36128,            0.043051,            0.048051,           0.0090142,            0.000793,            0.000793,            0.000793
                  95,             0.03762,            0.048703,           0.0046247,             0.68766,             0.51106,             0.56889,             0.36128,            0.043063,            0.048077,           0.0090291,            0.000694,            0.000694,            0.000694
                  96,            0.037628,            0.048487,           0.0046407,             0.68939,             0.51113,             0.56879,              0.3614,            0.043076,            0.048107,           0.0090445,            0.000595,            0.000595,            0.000595
                  97,             0.03755,            0.048556,           0.0046261,              0.6891,             0.51091,             0.56869,             0.36115,            0.043093,            0.048141,           0.0090557,            0.000496,            0.000496,            0.000496
                  98,             0.03666,            0.046262,           0.0040395,             0.69061,             0.51042,             0.56861,             0.36078,            0.043113,            0.048189,           0.0090767,            0.000397,            0.000397,            0.000397
                  99,             0.03642,            0.046059,           0.0041326,             0.69012,             0.51097,             0.56893,             0.36113,            0.043132,            0.048244,           0.0090947,            0.000298,            0.000298,            0.000298
